area,resource,date,needed_quantity,distributed_quantity,program,priority
Sialkot,Medicine,2025-06-01,596,448,Health Support,Medium
Sialkot,Medicine,2025-07-01,608,634,Health Support,Low
Sialkot,Medicine,2025-08-01,541,508,Health Support,Low
Sialkot,Medicine,2025-09-01,607,553,Health Support,High
Sialkot,Medicine,2025-10-01,545,536,Health Support,High
Sialkot,Medicine,2025-11-01,592,540,Health Support,Low
Sialkot,Medicine,2025-12-01,573,595,Health Support,High
Sialkot,Medicine,2026-01-01,620,638,Health Support,Low
Sialkot,Medicine,2026-02-01,542,423,Health Support,Medium
Sialkot,Medicine,2026-03-01,590,454,Health Support,High
Sialkot,Medicine,2026-04-01,596,500,Health Support,Medium
Sialkot,Medicine,2026-05-01,574,530,Health Support,High
Sialkot,Medicine,2026-06-01,590,503,Health Support,High
Sialkot,Medicine,2026-07-01,570,576,Health Support,Medium
Sialkot,Medicine,2026-08-01,588,612,Health Support,Medium
Sialkot,Medicine,2026-09-01,595,450,Health Support,High
Sialkot,Medicine,2026-10-01,569,430,Health Support,Medium
Sialkot,Medicine,2026-11-01,581,570,Health Support,Low
Sialkot,Medicine,2026-12-01,525,501,Health Support,Low
Sialkot,Clothing,2025-01-01,357,374,Winter Aid,Medium
Sialkot,Clothing,2025-02-01,383,336,Winter Aid,Low
Sialkot,Clothing,2025-03-01,366,361,Winter Aid,Low
Sialkot,Clothing,2025-04-01,387,370,Winter Aid,Low
Sialkot,Clothing,2025-05-01,412,342,Winter Aid,High
Sialkot,Clothing,2025-06-01,416,430,Winter Aid,Low
Sialkot,Clothing,2025-07-01,386,398,Winter Aid,Low
Sialkot,Clothing,2025-08-01,368,322,Winter Aid,Medium
Sialkot,Clothing,2025-09-01,367,305,Winter Aid,Low
Sialkot,Clothing,2025-10-01,423,442,Winter Aid,High
Sialkot,Clothing,2025-11-01,408,334,Winter Aid,High
Sialkot,Clothing,2025-12-01,386,314,Winter Aid,Medium
Sialkot,Clothing,2026-01-01,392,337,Winter Aid,High
Sialkot,Clothing,2026-02-01,386,389,Winter Aid,High
Sialkot,Clothing,2026-03-01,400,322,Winter Aid,Low
Sialkot,Clothing,2026-04-01,390,394,Winter Aid,Low
Sialkot,Clothing,2026-05-01,404,405,Winter Aid,High
Sialkot,Clothing,2026-06-01,405,396,Winter Aid,Medium
Sialkot,Clothing,2026-07-01,372,282,Winter Aid,Medium
Sialkot,Clothing,2026-08-01,397,407,Winter Aid,Low
Sialkot,Clothing,2026-09-01,415,371,Winter Aid,High
Sialkot,Clothing,2026-10-01,400,314,Winter Aid,Low
Sialkot,Clothing,2026-11-01,398,349,Winter Aid,Medium
Sialkot,Clothing,2026-12-01,376,304,Winter Aid,High
Sialkot,Water,2025-01-01,458,424,WASH Program,Medium
Sialkot,Water,2025-02-01,475,442,WASH Program,Medium
Sialkot,Water,2025-03-01,469,233,WASH Program,Medium
Sialkot,Water,2025-04-01,475,456,WASH Program,Medium
Sialkot,Water,2025-05-01,500,488,WASH Program,Medium
Sialkot,Water,2025-06-01,449,233,WASH Program,Medium
Sialkot,Water,2025-07-01,469,428,WASH Program,Medium
Sialkot,Water,2025-08-01,466,448,WASH Program,Medium
Sialkot,Water,2025-09-01,488,235,WASH Program,Medium
Sialkot,Water,2025-10-01,518,470,WASH Program,Medium
Sialkot,Water,2025-11-01,469,234,WASH Program,Medium
Sialkot,Water,2025-12-01,473,256,WASH Program,Medium
Sialkot,Water,2026-01-01,499,220,WASH Program,Medium
Sialkot,Water,2026-02-01,490,273,WASH Program,Medium
Sialkot,Water,2026-03-01,519,504,WASH Program,Medium
Sialkot,Water,2026-04-01,484,452,WASH Program,Medium
Sialkot,Water,2026-05-01,478,451,WASH Program,Medium
Sialkot,Water,2026-06-01,498,474,WASH Program,Medium
Sialkot,Water,2026-07-01,467,215,WASH Program,Medium
Sialkot,Water,2026-08-01,480,296,WASH Program,Medium
Sialkot,Water,2026-09-01,451,435,WASH Program,Medium
Sialkot,Water,2026-10-01,463,442,WASH Program,Medium
Sialkot,Water,2026-11-01,453,451,WASH Program,Medium
Sialkot,Water,2026-12-01,493,453,WASH Program,Medium
Sialkot,Shelter,2025-01-01,350,265,Shelter Support,Low
Sialkot,Shelter,2025-02-01,363,300,Shelter Support,Low
Sialkot,Shelter,2025-03-01,379,366,Shelter Support,Medium
Sialkot,Shelter,2025-04-01,358,348,Shelter Support,Low
Sialkot,Shelter,2025-05-01,326,280,Shelter Support,Medium
Sialkot,Shelter,2025-06-01,343,358,Shelter Support,Medium
Sialkot,Shelter,2025-07-01,331,320,Shelter Support,High
Sialkot,Shelter,2025-08-01,396,354,Shelter Support,High
Sialkot,Shelter,2025-09-01,330,306,Shelter Support,Low
Sialkot,Shelter,2025-10-01,349,357,Shelter Support,Medium
Sialkot,Shelter,2025-11-01,369,346,Shelter Support,Medium
Sialkot,Shelter,2025-12-01,337,326,Shelter Support,High
Sialkot,Shelter,2026-01-01,367,375,Shelter Support,High
Sialkot,Shelter,2026-02-01,347,278,Shelter Support,Medium
Sialkot,Shelter,2026-03-01,365,327,Shelter Support,High
Sialkot,Shelter,2026-04-01,354,291,Shelter Support,Low
Sialkot,Shelter,2026-05-01,357,322,Shelter Support,Medium
Sialkot,Shelter,2026-06-01,379,325,Shelter Support,High
Sialkot,Shelter,2026-07-01,339,294,Shelter Support,Low
Sialkot,Shelter,2026-08-01,365,379,Shelter Support,Medium
Sialkot,Shelter,2026-09-01,374,316,Shelter Support,Low
Sialkot,Shelter,2026-10-01,337,330,Shelter Support,Low
Sialkot,Shelter,2026-11-01,331,255,Shelter Support,Medium
Sialkot,Shelter,2026-12-01,355,284,Shelter Support,Low
Sialkot,Hygiene,2025-01-01,589,588,WASH Program,High
Sialkot,Hygiene,2025-02-01,667,586,WASH Program,High
Sialkot,Hygiene,2025-03-01,680,654,WASH Program,High
Sialkot,Hygiene,2025-04-01,613,490,WASH Program,Low
Sialkot,Hygiene,2025-05-01,686,612,WASH Program,High
Sialkot,Hygiene,2025-06-01,699,701,WASH Program,Low
Sialkot,Hygiene,2025-07-01,670,677,WASH Program,High
Sialkot,Hygiene,2025-08-01,701,569,WASH Program,Medium
Sialkot,Hygiene,2025-09-01,648,497,WASH Program,Low
Sialkot,Hygiene,2025-10-01,640,581,WASH Program,Low
Sialkot,Hygiene,2025-11-01,654,673,WASH Program,High
Sialkot,Hygiene,2025-12-01,624,527,WASH Program,Medium
Sialkot,Hygiene,2026-01-01,639,507,WASH Program,High
Sialkot,Hygiene,2026-02-01,659,689,WASH Program,High
Sialkot,Hygiene,2026-03-01,663,669,WASH Program,Medium
Sialkot,Hygiene,2026-04-01,673,596,WASH Program,Medium
Sialkot,Hygiene,2026-05-01,589,559,WASH Program,High
Sialkot,Hygiene,2026-06-01,755,597,WASH Program,Medium
Sialkot,Hygiene,2026-07-01,628,597,WASH Program,High
Sialkot,Hygiene,2026-08-01,680,707,WASH Program,Low
Sialkot,Hygiene,2026-09-01,668,589,WASH Program,High
Sialkot,Hygiene,2026-10-01,637,643,WASH Program,Low
Sialkot,Hygiene,2026-11-01,677,677,WASH Program,High
Sialkot,Hygiene,2026-12-01,628,648,WASH Program,Medium
Rawalpindi,Food,2025-01-01,512,478,Nutrition Program,Low
Rawalpindi,Food,2025-02-01,564,570,Nutrition Program,Medium
Rawalpindi,Food,2025-03-01,501,515,Nutrition Program,Low
Rawalpindi,Food,2025-04-01,514,491,Nutrition Program,Low
Rawalpindi,Food,2025-05-01,485,459,Nutrition Program,High
Rawalpindi,Food,2025-06-01,530,460,Nutrition Program,High
Rawalpindi,Food,2025-07-01,493,467,Nutrition Program,High
Rawalpindi,Food,2025-08-01,520,545,Nutrition Program,High
Rawalpindi,Food,2025-09-01,538,529,Nutrition Program,Medium
Rawalpindi,Food,2025-10-01,506,465,Nutrition Program,High
Rawalpindi,Food,2025-11-01,527,459,Nutrition Program,High
Rawalpindi,Food,2025-12-01,522,442,Nutrition Program,Low
Rawalpindi,Food,2026-01-01,539,527,Nutrition Program,Medium
Rawalpindi,Food,2026-02-01,527,521,Nutrition Program,Medium
Rawalpindi,Food,2026-03-01,546,429,Nutrition Program,Low
Rawalpindi,Food,2026-04-01,506,462,Nutrition Program,Low
Rawalpindi,Food,2026-05-01,480,460,Nutrition Program,High
Rawalpindi,Food,2026-06-01,470,407,Nutrition Program,Medium
Rawalpindi,Food,2026-07-01,473,407,Nutrition Program,High
Rawalpindi,Food,2026-08-01,505,413,Nutrition Program,Low
Rawalpindi,Food,2026-09-01,517,491,Nutrition Program,High
Rawalpindi,Food,2026-10-01,495,463,Nutrition Program,Medium
Rawalpindi,Food,2026-11-01,455,459,Nutrition Program,High
Rawalpindi,Food,2026-12-01,495,448,Nutrition Program,Medium
Rawalpindi,Medicine,2025-01-01,215,183,Health Support,High
Rawalpindi,Medicine,2025-02-01,220,190,Health Support,High
Rawalpindi,Medicine,2025-03-01,236,214,Health Support,Medium
Rawalpindi,Medicine,2025-04-01,200,186,Health Support,Medium
Rawalpindi,Medicine,2025-05-01,228,220,Health Support,Medium
Rawalpindi,Medicine,2025-06-01,227,235,Health Support,High
Rawalpindi,Medicine,2025-07-01,218,224,Health Support,High
Rawalpindi,Medicine,2025-08-01,225,172,Health Support,High
Rawalpindi,Medicine,2025-09-01,218,170,Health Support,Low
Rawalpindi,Medicine,2025-10-01,227,203,Health Support,High
Rawalpindi,Medicine,2025-11-01,211,177,Health Support,Medium
Rawalpindi,Medicine,2025-12-01,210,208,Health Support,Medium
Rawalpindi,Medicine,2026-01-01,199,185,Health Support,Medium
Rawalpindi,Medicine,2026-02-01,225,217,Health Support,High
Rawalpindi,Medicine,2026-03-01,214,168,Health Support,Medium
Rawalpindi,Medicine,2026-04-01,203,163,Health Support,Medium
Rawalpindi,Medicine,2026-05-01,210,190,Health Support,Low
Rawalpindi,Medicine,2026-06-01,227,218,Health Support,Low
Rawalpindi,Medicine,2026-07-01,222,183,Health Support,Medium
Rawalpindi,Medicine,2026-08-01,210,218,Health Support,Low
Rawalpindi,Medicine,2026-09-01,236,215,Health Support,Low
Rawalpindi,Medicine,2026-10-01,220,167,Health Support,Medium
Rawalpindi,Medicine,2026-11-01,226,210,Health Support,High
Rawalpindi,Medicine,2026-12-01,222,221,Health Support,High
Rawalpindi,Clothing,2025-01-01,445,362,Winter Aid,Medium
Rawalpindi,Clothing,2025-02-01,461,430,Winter Aid,High
Rawalpindi,Clothing,2025-03-01,477,486,Winter Aid,Low
Rawalpindi,Clothing,2025-04-01,445,380,Winter Aid,Medium
Rawalpindi,Clothing,2025-05-01,468,389,Winter Aid,High
Rawalpindi,Clothing,2025-06-01,436,434,Winter Aid,High
Rawalpindi,Clothing,2025-07-01,493,383,Winter Aid,Low
Rawalpindi,Clothing,2025-08-01,433,405,Winter Aid,Medium
Rawalpindi,Clothing,2025-09-01,502,401,Winter Aid,Medium
Rawalpindi,Clothing,2025-10-01,424,411,Winter Aid,Low
Rawalpindi,Clothing,2025-11-01,443,344,Winter Aid,Medium
Rawalpindi,Clothing,2025-12-01,462,349,Winter Aid,Medium
Rawalpindi,Clothing,2026-01-01,479,437,Winter Aid,Low
Rawalpindi,Clothing,2026-02-01,488,399,Winter Aid,Low
Rawalpindi,Clothing,2026-03-01,484,435,Winter Aid,High
Rawalpindi,Clothing,2026-04-01,413,432,Winter Aid,Medium
Rawalpindi,Clothing,2026-05-01,461,401,Winter Aid,Low
Rawalpindi,Clothing,2026-06-01,434,381,Winter Aid,High
Rawalpindi,Clothing,2026-07-01,474,496,Winter Aid,Medium
Rawalpindi,Clothing,2026-08-01,476,375,Winter Aid,High
Rawalpindi,Clothing,2026-09-01,458,422,Winter Aid,Low
Rawalpindi,Clothing,2026-10-01,439,365,Winter Aid,Medium
Rawalpindi,Clothing,2026-11-01,427,365,Winter Aid,High
Rawalpindi,Clothing,2026-12-01,435,335,Winter Aid,Low
Rawalpindi,Water,2025-01-01,731,723,WASH Program,Low
Rawalpindi,Water,2025-02-01,761,624,WASH Program,Low
Rawalpindi,Water,2025-03-01,799,755,WASH Program,Low
Rawalpindi,Water,2025-04-01,764,695,WASH Program,Low
Rawalpindi,Water,2025-05-01,715,679,WASH Program,Low
Rawalpindi,Water,2025-06-01,713,747,WASH Program,Low
Rawalpindi,Water,2025-07-01,786,761,WASH Program,High
Rawalpindi,Water,2025-08-01,833,741,WASH Program,Medium
Rawalpindi,Water,2025-09-01,763,791,WASH Program,Medium
Rawalpindi,Water,2025-10-01,734,589,WASH Program,High
Rawalpindi,Water,2025-11-01,722,657,WASH Program,Low
Rawalpindi,Water,2025-12-01,783,609,WASH Program,Medium
Rawalpindi,Water,2026-01-01,820,700,WASH Program,Low
Rawalpindi,Water,2026-02-01,748,710,WASH Program,Medium
Rawalpindi,Water,2026-03-01,739,588,WASH Program,Low
Rawalpindi,Water,2026-04-01,706,739,WASH Program,High
Rawalpindi,Water,2026-05-01,762,763,WASH Program,Low
Rawalpindi,Water,2026-06-01,789,715,WASH Program,Medium
Rawalpindi,Water,2026-07-01,731,713,WASH Program,Low
Rawalpindi,Water,2026-08-01,768,605,WASH Program,Medium
Rawalpindi,Water,2026-09-01,779,749,WASH Program,Low
Rawalpindi,Water,2026-10-01,782,594,WASH Program,Medium
Rawalpindi,Water,2026-11-01,719,616,WASH Program,Medium
Rawalpindi,Water,2026-12-01,726,563,WASH Program,Medium
Rawalpindi,Shelter,2025-01-01,676,568,Shelter Support,Low
Rawalpindi,Shelter,2025-02-01,697,605,Shelter Support,Medium
Rawalpindi,Shelter,2025-03-01,746,674,Shelter Support,Low
Rawalpindi,Shelter,2025-04-01,635,651,Shelter Support,High
Rawalpindi,Shelter,2025-05-01,682,685,Shelter Support,High
Rawalpindi,Shelter,2025-06-01,673,546,Shelter Support,Medium
Rawalpindi,Shelter,2025-07-01,659,667,Shelter Support,Low
Rawalpindi,Shelter,2025-08-01,713,720,Shelter Support,Medium
Rawalpindi,Shelter,2025-09-01,693,583,Shelter Support,Low
Rawalpindi,Shelter,2025-10-01,694,537,Shelter Support,Low
Rawalpindi,Shelter,2025-11-01,633,606,Shelter Support,High
Rawalpindi,Shelter,2025-12-01,662,565,Shelter Support,Low
Rawalpindi,Shelter,2026-01-01,675,672,Shelter Support,Low
Rawalpindi,Shelter,2026-02-01,679,536,Shelter Support,Medium
Rawalpindi,Shelter,2026-03-01,757,741,Shelter Support,Medium
Rawalpindi,Shelter,2026-04-01,663,532,Shelter Support,Low
Rawalpindi,Shelter,2026-05-01,588,466,Shelter Support,High
Rawalpindi,Shelter,2026-06-01,676,581,Shelter Support,Medium
Rawalpindi,Shelter,2026-07-01,691,607,Shelter Support,Medium
Rawalpindi,Shelter,2026-08-01,675,569,Shelter Support,High
Rawalpindi,Shelter,2026-09-01,576,450,Shelter Support,Medium
Rawalpindi,Shelter,2026-10-01,683,643,Shelter Support,Low
Rawalpindi,Shelter,2026-11-01,692,653,Shelter Support,Low
Rawalpindi,Shelter,2026-12-01,630,501,Shelter Support,Low
Rawalpindi,Hygiene,2025-01-01,249,261,WASH Program,Medium
Rawalpindi,Hygiene,2025-02-01,257,197,WASH Program,Medium
Rawalpindi,Hygiene,2025-03-01,250,196,WASH Program,Medium
Rawalpindi,Hygiene,2025-04-01,252,211,WASH Program,Medium
Rawalpindi,Hygiene,2025-05-01,261,200,WASH Program,Low
Rawalpindi,Hygiene,2025-06-01,249,224,WASH Program,High
Rawalpindi,Hygiene,2025-07-01,238,223,WASH Program,Low
Rawalpindi,Hygiene,2025-08-01,269,244,WASH Program,Medium
Rawalpindi,Hygiene,2025-09-01,244,247,WASH Program,Low
Rawalpindi,Hygiene,2025-10-01,255,225,WASH Program,High
Rawalpindi,Hygiene,2025-11-01,251,219,WASH Program,Low
Rawalpindi,Hygiene,2025-12-01,242,241,WASH Program,High
Rawalpindi,Hygiene,2026-01-01,269,202,WASH Program,Medium
Rawalpindi,Hygiene,2026-02-01,267,233,WASH Program,Low
Rawalpindi,Hygiene,2026-03-01,252,208,WASH Program,Low
Rawalpindi,Hygiene,2026-04-01,257,251,WASH Program,Low
Rawalpindi,Hygiene,2026-05-01,259,210,WASH Program,Low
Rawalpindi,Hygiene,2026-06-01,243,183,WASH Program,Medium
Rawalpindi,Hygiene,2026-07-01,245,224,WASH Program,High
Rawalpindi,Hygiene,2026-08-01,257,227,WASH Program,High
Rawalpindi,Hygiene,2026-09-01,242,205,WASH Program,Low
Rawalpindi,Hygiene,2026-10-01,257,249,WASH Program,Medium
Rawalpindi,Hygiene,2026-11-01,228,197,WASH Program,High
Rawalpindi,Hygiene,2026-12-01,252,223,WASH Program,High
Gujranwala,Food,2025-01-01,720,746,Nutrition Program,High
Gujranwala,Food,2025-02-01,717,707,Nutrition Program,High
Gujranwala,Food,2025-03-01,750,660,Nutrition Program,High
Gujranwala,Food,2025-04-01,670,553,Nutrition Program,High
Gujranwala,Food,2025-05-01,706,664,Nutrition Program,Medium
Gujranwala,Food,2025-06-01,742,703,Nutrition Program,Low
Gujranwala,Food,2025-07-01,719,671,Nutrition Program,High
Gujranwala,Food,2025-08-01,738,568,Nutrition Program,Medium
Gujranwala,Food,2025-09-01,667,647,Nutrition Program,Medium
Gujranwala,Food,2025-10-01,712,643,Nutrition Program,Low
Gujranwala,Food,2025-11-01,701,543,Nutrition Program,Low
Gujranwala,Food,2025-12-01,713,687,Nutrition Program,High
Gujranwala,Food,2026-01-01,681,571,Nutrition Program,Low
Gujranwala,Food,2026-02-01,756,646,Nutrition Program,Low
Gujranwala,Food,2026-03-01,734,591,Nutrition Program,Medium
Gujranwala,Food,2026-04-01,751,602,Nutrition Program,Medium
Gujranwala,Food,2026-05-01,720,705,Nutrition Program,Medium
Gujranwala,Food,2026-06-01,684,567,Nutrition Program,High
Gujranwala,Food,2026-07-01,731,632,Nutrition Program,High
Gujranwala,Food,2026-08-01,756,613,Nutrition Program,Low
Gujranwala,Food,2026-09-01,719,706,Nutrition Program,Low
Gujranwala,Food,2026-10-01,677,638,Nutrition Program,High
Gujranwala,Food,2026-11-01,689,716,Nutrition Program,High
Gujranwala,Food,2026-12-01,711,703,Nutrition Program,Medium
Gujranwala,Medicine,2025-01-01,724,705,Health Support,High
Gujranwala,Medicine,2025-02-01,735,730,Health Support,High
Gujranwala,Medicine,2025-03-01,646,550,Health Support,Low
Gujranwala,Medicine,2025-04-01,687,706,Health Support,Low
Gujranwala,Medicine,2025-05-01,654,575,Health Support,Medium
Gujranwala,Medicine,2025-06-01,631,556,Health Support,High
Gujranwala,Medicine,2025-07-01,694,570,Health Support,Low
Gujranwala,Medicine,2025-08-01,679,533,Health Support,High
Gujranwala,Medicine,2025-09-01,682,643,Health Support,High
Gujranwala,Medicine,2025-10-01,669,559,Health Support,Medium
Gujranwala,Medicine,2025-11-01,685,687,Health Support,High
Gujranwala,Medicine,2025-12-01,683,700,Health Support,Medium
Gujranwala,Medicine,2026-01-01,703,624,Health Support,Low
Gujranwala,Medicine,2026-02-01,647,648,Health Support,Low
Gujranwala,Medicine,2026-03-01,704,666,Health Support,Low
Gujranwala,Medicine,2026-04-01,699,561,Health Support,Low
Gujranwala,Medicine,2026-05-01,686,707,Health Support,Medium
Gujranwala,Medicine,2026-06-01,676,515,Health Support,Medium
Gujranwala,Medicine,2026-07-01,671,649,Health Support,Low
Gujranwala,Medicine,2026-08-01,672,668,Health Support,Low
Gujranwala,Medicine,2026-09-01,676,677,Health Support,Low
Gujranwala,Medicine,2026-10-01,624,605,Health Support,Medium
Gujranwala,Medicine,2026-11-01,752,678,Health Support,Low
Gujranwala,Medicine,2026-12-01,711,596,Health Support,Medium
Gujranwala,Clothing,2025-01-01,424,429,Winter Aid,High
Gujranwala,Clothing,2025-02-01,401,377,Winter Aid,Low
Gujranwala,Clothing,2025-03-01,376,334,Winter Aid,Medium
Gujranwala,Clothing,2025-04-01,398,299,Winter Aid,Medium
Gujranwala,Clothing,2025-05-01,405,424,Winter Aid,Medium
Gujranwala,Clothing,2025-06-01,370,288,Winter Aid,High
Gujranwala,Clothing,2025-07-01,414,335,Winter Aid,Low
Gujranwala,Clothing,2025-08-01,380,348,Winter Aid,Medium
Gujranwala,Clothing,2025-09-01,403,324,Winter Aid,Low
Gujranwala,Clothing,2025-10-01,417,357,Winter Aid,Medium
Gujranwala,Clothing,2025-11-01,394,296,Winter Aid,Low
Gujranwala,Clothing,2025-12-01,417,407,Winter Aid,High
Gujranwala,Clothing,2026-01-01,360,286,Winter Aid,Medium
Gujranwala,Clothing,2026-02-01,367,308,Winter Aid,Medium
Gujranwala,Clothing,2026-03-01,373,360,Winter Aid,High
Gujranwala,Clothing,2026-04-01,348,353,Winter Aid,Low
Gujranwala,Clothing,2026-05-01,355,310,Winter Aid,Medium
Gujranwala,Clothing,2026-06-01,417,399,Winter Aid,High
Gujranwala,Clothing,2026-07-01,411,319,Winter Aid,Medium
Gujranwala,Clothing,2026-08-01,377,349,Winter Aid,Medium
Gujranwala,Clothing,2026-09-01,432,332,Winter Aid,Medium
Gujranwala,Clothing,2026-10-01,383,353,Winter Aid,Low
Gujranwala,Clothing,2026-11-01,425,395,Winter Aid,High
Gujranwala,Clothing,2026-12-01,425,404,Winter Aid,High
Gujranwala,Water,2025-01-01,738,736,WASH Program,High
Gujranwala,Water,2025-02-01,793,713,WASH Program,High
Gujranwala,Water,2025-03-01,804,773,WASH Program,Medium
Gujranwala,Water,2025-04-01,737,727,WASH Program,Low
Gujranwala,Water,2025-05-01,656,521,WASH Program,High
Gujranwala,Water,2025-06-01,792,671,WASH Program,Low
Gujranwala,Water,2025-07-01,729,594,WASH Program,High
Gujranwala,Water,2025-08-01,756,702,WASH Program,High
Gujranwala,Water,2025-09-01,769,673,WASH Program,Medium
Gujranwala,Water,2025-10-01,783,736,WASH Program,Medium
Gujranwala,Water,2025-11-01,748,652,WASH Program,Medium
Gujranwala,Water,2025-12-01,771,772,WASH Program,Low
Gujranwala,Water,2026-01-01,807,747,WASH Program,Medium
Gujranwala,Water,2026-02-01,688,554,WASH Program,Medium
Gujranwala,Water,2026-03-01,708,536,WASH Program,High
Gujranwala,Water,2026-04-01,717,542,WASH Program,High
Gujranwala,Water,2026-05-01,741,670,WASH Program,Medium
Gujranwala,Water,2026-06-01,791,664,WASH Program,Medium
Gujranwala,Water,2026-07-01,801,803,WASH Program,Low
Gujranwala,Water,2026-08-01,754,607,WASH Program,Low
Gujranwala,Water,2026-09-01,754,674,WASH Program,High
Gujranwala,Water,2026-10-01,814,643,WASH Program,Low
Gujranwala,Water,2026-11-01,769,691,WASH Program,Medium
Gujranwala,Water,2026-12-01,747,658,WASH Program,Medium
Gujranwala,Shelter,2025-01-01,800,638,Shelter Support,High
Gujranwala,Shelter,2025-02-01,795,741,Shelter Support,Medium
Gujranwala,Shelter,2025-03-01,781,739,Shelter Support,Medium
Gujranwala,Shelter,2025-04-01,744,771,Shelter Support,Medium
Gujranwala,Shelter,2025-05-01,728,599,Shelter Support,Medium
Gujranwala,Shelter,2025-06-01,731,746,Shelter Support,Low
Gujranwala,Shelter,2025-07-01,733,716,Shelter Support,Low
Gujranwala,Shelter,2025-08-01,730,645,Shelter Support,Low
Gujranwala,Shelter,2025-09-01,745,572,Shelter Support,Low
Gujranwala,Shelter,2025-10-01,765,781,Shelter Support,Low
Gujranwala,Shelter,2025-11-01,769,671,Shelter Support,High
Gujranwala,Shelter,2025-12-01,722,616,Shelter Support,Medium
Gujranwala,Shelter,2026-01-01,775,711,Shelter Support,High
Gujranwala,Shelter,2026-02-01,769,792,Shelter Support,Medium
Gujranwala,Shelter,2026-03-01,761,630,Shelter Support,Medium
Gujranwala,Shelter,2026-04-01,742,719,Shelter Support,Medium
Gujranwala,Shelter,2026-05-01,723,664,Shelter Support,High
Gujranwala,Shelter,2026-06-01,787,699,Shelter Support,Medium
Gujranwala,Shelter,2026-07-01,769,657,Shelter Support,Medium
Gujranwala,Shelter,2026-08-01,779,610,Shelter Support,Low
Gujranwala,Shelter,2026-09-01,749,618,Shelter Support,Low
Gujranwala,Shelter,2026-10-01,745,748,Shelter Support,Medium
Gujranwala,Shelter,2026-11-01,804,630,Shelter Support,Low
Gujranwala,Shelter,2026-12-01,867,873,Shelter Support,High
Gujranwala,Hygiene,2025-01-01,436,419,WASH Program,Medium
Gujranwala,Hygiene,2025-02-01,446,407,WASH Program,High
Gujranwala,Hygiene,2025-03-01,441,394,WASH Program,Low
Gujranwala,Hygiene,2025-04-01,424,339,WASH Program,Low
Gujranwala,Hygiene,2025-05-01,433,378,WASH Program,High
Gujranwala,Hygiene,2025-06-01,487,460,WASH Program,Medium
Gujranwala,Hygiene,2025-07-01,427,385,WASH Program,Low
Gujranwala,Hygiene,2025-08-01,444,440,WASH Program,Low
Gujranwala,Hygiene,2025-09-01,428,421,WASH Program,Low
Gujranwala,Hygiene,2025-10-01,441,357,WASH Program,High
Gujranwala,Hygiene,2025-11-01,427,362,WASH Program,High
Gujranwala,Hygiene,2025-12-01,431,421,WASH Program,Low
Gujranwala,Hygiene,2026-01-01,410,415,WASH Program,Medium
Gujranwala,Hygiene,2026-02-01,445,451,WASH Program,High
Gujranwala,Hygiene,2026-03-01,435,385,WASH Program,Medium
Gujranwala,Hygiene,2026-04-01,454,474,WASH Program,High
Gujranwala,Hygiene,2026-05-01,441,451,WASH Program,High
Gujranwala,Hygiene,2026-06-01,426,388,WASH Program,Medium
Gujranwala,Hygiene,2026-07-01,421,398,WASH Program,Medium
Gujranwala,Hygiene,2026-08-01,442,440,WASH Program,Medium
Gujranwala,Hygiene,2026-09-01,472,490,WASH Program,High
Gujranwala,Hygiene,2026-10-01,430,348,WASH Program,Medium
Gujranwala,Hygiene,2026-11-01,402,397,WASH Program,Medium
Gujranwala,Hygiene,2026-12-01,447,412,WASH Program,Medium
Bahawalpur,Food,2025-01-01,745,647,Nutrition Program,Medium
Bahawalpur,Food,2025-02-01,722,739,Nutrition Program,Medium
Bahawalpur,Food,2025-03-01,661,633,Nutrition Program,Medium
Bahawalpur,Food,2025-04-01,708,699,Nutrition Program,Medium
Bahawalpur,Food,2025-05-01,733,749,Nutrition Program,High
Bahawalpur,Food,2025-06-01,688,573,Nutrition Program,Medium
Bahawalpur,Food,2025-07-01,684,696,Nutrition Program,High
Bahawalpur,Food,2025-08-01,685,648,Nutrition Program,Low
Bahawalpur,Food,2025-09-01,696,650,Nutrition Program,Low
Bahawalpur,Food,2025-10-01,663,513,Nutrition Program,High
Bahawalpur,Food,2025-11-01,710,640,Nutrition Program,Medium
Bahawalpur,Food,2025-12-01,712,740,Nutrition Program,High
Bahawalpur,Food,2026-01-01,713,677,Nutrition Program,Low
Bahawalpur,Food,2026-02-01,702,660,Nutrition Program,High
Bahawalpur,Food,2026-03-01,662,499,Nutrition Program,Low
Bahawalpur,Food,2026-04-01,695,637,Nutrition Program,High
Bahawalpur,Food,2026-05-01,767,780,Nutrition Program,High
Bahawalpur,Food,2026-06-01,711,550,Nutrition Program,High
Bahawalpur,Food,2026-07-01,675,680,Nutrition Program,High
Bahawalpur,Food,2026-08-01,724,720,Nutrition Program,High
Bahawalpur,Food,2026-09-01,767,647,Nutrition Program,Low
Bahawalpur,Food,2026-10-01,716,638,Nutrition Program,High
Bahawalpur,Food,2026-11-01,698,598,Nutrition Program,High
Bahawalpur,Food,2026-12-01,749,672,Nutrition Program,High
Bahawalpur,Medicine,2025-01-01,321,257,Health Support,Medium
Bahawalpur,Medicine,2025-02-01,346,333,Health Support,Low
Bahawalpur,Medicine,2025-03-01,320,273,Health Support,High
Bahawalpur,Medicine,2025-04-01,323,285,Health Support,Low
Bahawalpur,Medicine,2025-05-01,342,320,Health Support,High
Bahawalpur,Medicine,2025-06-01,350,299,Health Support,Medium
