district_name,item_name,report_month,required_units,units_distributed,funding_source,programme,beneficiary_count,priority_level,district_code,unit_type,collection_method,last_updated,balance,remarks
Sialkot,Hygiene,2024-09-01,2770.0,3147.0,Red Crescent,WASH Program,1223,Medium,PK-SIA,kits,Manual Entry,2024-09-14,-377.0,Reported by district office
Hyderabad,Water,2025-11-01,1501.0,1501.0,Local Fund,WASH Program,2785,High,PK-HYD,liters,Manual Entry,2025-11-07,0.0,
Sialkot,Food,2026-12-01,1702.0,1809.0,UNHCR,Nutrition Program,2092,High,PK-SIA,kg,Mobile App,2026-12-19,-107.0,Field verified
Rawalpindi,Hygiene,2025-12-01,302.0,301.0,Private Donor,WASH Program,2152,High,PK-RAW,kits,Survey,2025-12-03,1.0,Reported by district office
Quetta,Shelter,2026-02-01,1408.0,1408.0,WFP,Shelter Support,553,High,PK-QUE,units,Partner Report,2026-02-16,-38.0,Partner discrepancy noted
Karachi,Shelter,2024-11-01,3485.0,3056.0,UNHCR,Shelter Support,2670,Medium,PK-KAR,units,Mobile App,2024-11-02,429.0,Pending review
Multan,Medicine,2025-05-01,5176.0,4568.0,UNHCR,Health Support,1603,Medium,PK-MUL,kits,Mobile App,2025-05-06,608.0,Field verified
Lahore,Shelter,2025-04-01,116.0,84.0,WFP,Shelter Support,501,High,PK-LAH,units,Survey,2025-04-16,32.0,Partner discrepancy noted
Hyderabad,Hygiene,2024-03-01,397.0,328.0,Local Fund,WASH Program,675,Low,PK-HYD,kits,Manual Entry,2024-03-07,69.0,Field verified
Multan,Clothing,2026-10-01,3258.0,2512.0,WFP,Winter Aid,404,High,PK-MUL,pieces,Manual Entry,2026-10-11,746.0,
Bahawalpur,Clothing,2025-07-01,857.0,269.0,USAID,Winter Aid,358,Medium,PK-BAH,pieces,Partner Report,2025-07-07,588.0,Field verified
Sargodha,Hygiene,2024-02-01,3150.0,,Red Crescent,WASH Program,1976,High,PK-SAR,kits,Partner Report,2024-02-10,,
Lahore,Shelter,2025-05-01,3717.0,3654.0,WFP,Shelter Support,2184,High,PK-LAH,units,Partner Report,2025-05-10,63.0,Reported by district office
Karachi,Water,2026-01-01,2912.0,3321.0,UNHCR,WASH Program,301,Low,PK-KAR,liters,Manual Entry,2026-01-16,-409.0,Field verified
Peshawar,Food,2026-09-01,,1865.0,WFP,Nutrition Program,1482,Medium,PK-PES,kg,Mobile App,2026-09-07,,Field verified
Hyderabad,Water,2025-12-01,,2736.0,UNHCR,WASH Program,2080,High,PK-HYD,liters,Survey,2025-12-04,,Pending review
Sialkot,Hygiene,2025-06-01,4346.0,3362.0,Red Crescent,WASH Program,2974,Low,PK-SIA,kits,Manual Entry,2025-06-01,984.0,Field verified
Rawalpindi,Hygiene,2026-02-01,222.0,162.0,Private Donor,WASH Program,1970,Medium,PK-RAW,kits,Partner Report,2026-02-17,60.0,Reported by district office
Multan,Food,2025-10-01,2062.0,1758.0,Red Crescent,Nutrition Program,2419,Low,PK-MUL,kg,Manual Entry,2025-10-19,304.0,Reported by district office
Sialkot,Water,2024-07-01,2470.0,2398.0,Red Crescent,WASH Program,2784,Medium,PK-SIA,liters,Mobile App,2024-07-17,72.0,Reported by district office
Rawalpindi,Water,2026-07-01,3605.0,2607.0,USAID,WASH Program,2305,Low,PK-RAW,liters,Partner Report,2026-07-13,998.0,Partner discrepancy noted
Hyderabad,Hygiene,2024-03-01,397.0,328.0,Local Fund,WASH Program,675,Low,PK-HYD,kits,Manual Entry,2024-03-07,69.0,Field verified
Peshawar,Medicine,2025-01-01,2393.0,1756.0,Private Donor,Health Support,212,High,PK-PES,kits,Partner Report,2025-01-18,637.0,Partner discrepancy noted
Gujranwala,Hygiene,2025-11-01,2745.0,2035.0,Red Crescent,WASH Program,1611,Low,PK-GUJ,kits,Mobile App,2025-11-14,710.0,Field verified
Gujranwala,Clothing,2024-11-01,4072.0,,Private Donor,Winter Aid,1688,Low,PK-GUJ,pieces,Manual Entry,2024-11-18,,Reported by district office
Sialkot,Water,2024-11-01,1696.0,526.0,Red Crescent,WASH Program,833,Low,PK-SIA,liters,Partner Report,2024-11-04,1170.0,
Gujranwala,Water,2025-02-01,857.0,332.0,WFP,WASH Program,147,High,PK-GUJ,liters,Mobile App,2025-02-05,485.0,Field verified
Hyderabad,Medicine,2024-03-01,496.0,391.0,UNHCR,Health Support,50,High,PK-HYD,kits,Survey,2024-03-16,105.0,Field verified
Sargodha,Clothing,2024-01-01,1189.0,1114.0,Private Donor,Winter Aid,78,Medium,PK-SAR,pieces,Manual Entry,2024-01-19,75.0,
Bahawalpur,Hygiene,2024-05-01,2664.0,2574.0,USAID,WASH Program,202,High,PK-BAH,kits,Partner Report,2024-05-14,90.0,Reported by district office
Gujranwala,Medicine,2026-02-01,1976.0,1747.0,Local Fund,Health Support,2918,High,PK-GUJ,kits,Partner Report,2026-02-07,229.0,Pending review
Multan,Food,2024-04-01,1342.0,957.0,UNICEF,Nutrition Program,2431,Medium,PK-MUL,kg,Manual Entry,2024-04-13,385.0,Partner discrepancy noted
Lahore,Hygiene,2026-07-01,4147.0,3077.0,WFP,WASH Program,2538,High,PK-LAH,kits,Survey,2026-07-13,1070.0,Partner discrepancy noted
Peshawar,Shelter,2024-04-01,3643.0,2694.0,Private Donor,Shelter Support,1334,High,PK-PES,units,Mobile App,2024-04-13,949.0,Pending review
Multan,Water,2024-03-01,2346.0,1784.0,UNICEF,WASH Program,2967,Low,PK-MUL,liters,Manual Entry,2024-03-19,562.0,Partner discrepancy noted
Gujranwala,Shelter,2024-12-01,3748.0,,Red Crescent,Shelter Support,116,Low,PK-GUJ,units,Mobile App,2024-12-19,,Reported by district office
Sialkot,Clothing,2025-05-01,2104.0,1841.0,Red Crescent,Winter Aid,1120,Low,PK-SIA,pieces,Partner Report,2025-05-22,257.0,Partner discrepancy noted
Lahore,Food,2024-09-01,3316.0,2744.0,WFP,Nutrition Program,2563,High,PK-LAH,kg,Partner Report,2024-09-17,572.0,Field verified
Bahawalpur,Food,2024-06-01,2260.0,2016.0,USAID,Nutrition Program,948,Medium,PK-BAH,kg,Manual Entry,2024-06-05,244.0,Reported by district office
Hyderabad,Medicine,2025-03-01,5441.0,5000.0,WFP,Health Support,1828,Low,PK-HYD,kits,Manual Entry,2025-03-15,441.0,Field verified
Faisalabad,Water,2025-05-01,603.0,486.0,Local Fund,WASH Program,815,Medium,PK-FAI,liters,Survey,2025-05-13,117.0,Reported by district office
Quetta,Hygiene,2026-09-01,4680.0,2162.0,WFP,WASH Program,1180,Medium,PK-QUE,kits,Survey,2026-09-24,2518.0,Reported by district office
Quetta,Medicine,2026-10-01,1514.0,1312.0,UNHCR,Health Support,2799,High,PK-QUE,kits,Survey,2026-10-07,202.0,Partner discrepancy noted
Sargodha,Food,2026-03-01,3533.0,3813.0,UNHCR,Nutrition Program,1094,Low,PK-SAR,kg,Survey,2026-03-16,-280.0,Pending review
Bahawalpur,Hygiene,2026-01-01,4787.0,4577.0,Private Donor,WASH Program,1306,Low,PK-BAH,kits,Manual Entry,2026-01-14,210.0,Pending review
Gujranwala,Hygiene,2025-01-01,2059.0,1896.0,USAID,WASH Program,2584,High,PK-GUJ,kits,Mobile App,2025-01-09,163.0,Reported by district office
Sialkot,Clothing,2024-11-01,3949.0,2936.0,USAID,Winter Aid,470,Low,PK-SIA,pieces,Partner Report,2024-11-13,1013.0,Field verified
Peshawar,Food,2025-12-01,,2027.0,Red Crescent,Nutrition Program,1050,High,PK-PES,kg,Manual Entry,2025-12-04,,
Rawalpindi,Medicine,2025-08-01,2960.0,2960.0,WFP,Health Support,2521,High,PK-RAW,kits,Manual Entry,2025-08-02,0.0,
Sialkot,Clothing,2024-02-01,3326.0,3326.0,USAID,Winter Aid,2766,Medium,PK-SIA,pieces,Partner Report,2024-02-25,21.0,Partner discrepancy noted
Hyderabad,Water,2025-11-01,1501.0,1501.0,Local Fund,WASH Program,2785,High,PK-HYD,liters,Manual Entry,2025-11-07,0.0,
Faisalabad,Hygiene,2024-05-01,3328.0,3594.0,Local Fund,WASH Program,311,Low,PK-FAI,kits,Manual Entry,2024-05-16,-220.0,
Gujranwala,Hygiene,2024-04-01,4654.0,4654.0,USAID,WASH Program,1788,Medium,PK-GUJ,kits,Survey,2024-04-02,0.0,Pending review
Sargodha,Clothing,2026-03-01,969.0,852.0,USAID,Winter Aid,720,High,PK-SAR,pieces,Partner Report,2026-03-01,117.0,Reported by district office
Gujranwala,Food,2026-11-01,2854.0,2854.0,UNICEF,Nutrition Program,1852,Low,PK-GUJ,kg,Partner Report,2026-11-03,0.0,Partner discrepancy noted
Sialkot,Medicine,2025-10-01,334.0,246.0,Red Crescent,Health Support,2200,Low,PK-SIA,kits,Mobile App,2025-10-07,120.0,Reported by district office
Bahawalpur,Clothing,2025-07-01,857.0,269.0,USAID,Winter Aid,358,Medium,PK-BAH,pieces,Partner Report,2025-07-07,588.0,Field verified
Sialkot,Medicine,2026-02-01,1164.0,885.0,WFP,Health Support,2341,High,PK-SIA,kits,Mobile App,2026-02-13,279.0,
Hyderabad,Hygiene,2025-11-01,1010.0,1071.0,Private Donor,WASH Program,1454,Low,PK-HYD,kits,Partner Report,2025-11-23,-61.0,Reported by district office
Hyderabad,Medicine,2025-07-01,2956.0,2273.0,Private Donor,Health Support,529,Medium,PK-HYD,kits,Partner Report,2025-07-05,643.0,Partner discrepancy noted
Rawalpindi,Shelter,2024-05-01,4455.0,3413.0,UNICEF,Shelter Support,2755,Low,PK-RAW,units,Partner Report,2024-05-15,1042.0,Pending review
Sialkot,Shelter,2026-08-01,2119.0,1565.0,Private Donor,Shelter Support,1997,High,PK-SIA,units,Partner Report,2026-08-21,554.0,Field verified
Rawalpindi,Hygiene,2026-12-01,152.0,65.0,Private Donor,WASH Program,1098,Medium,PK-RAW,kits,Partner Report,2026-12-01,87.0,Partner discrepancy noted
Sialkot,Medicine,2026-07-01,4686.0,3327.0,Local Fund,Health Support,1273,Low,PK-SIA,kits,Mobile App,2026-07-11,1359.0,Pending review
Bahawalpur,Food,2025-02-01,2025.0,1017.0,UNHCR,Nutrition Program,2877,Low,PK-BAH,kg,Manual Entry,2025-02-23,1008.0,Pending review
Gujranwala,Clothing,2025-09-01,3486.0,2527.0,USAID,Winter Aid,2753,Low,PK-GUJ,pieces,Survey,2025-09-03,959.0,Field verified
Sargodha,Shelter,2024-07-01,1722.0,603.0,Red Crescent,Shelter Support,2641,Medium,PK-SAR,units,Survey,2024-07-13,1119.0,Reported by district office
Quetta,Hygiene,2025-01-01,4905.0,4905.0,Private Donor,WASH Program,1074,High,PK-QUE,kits,Mobile App,2025-01-24,16.0,
Bahawalpur,Food,2024-12-01,,746.0,Red Crescent,Nutrition Program,1887,High,PK-BAH,kg,Survey,2024-12-22,,Reported by district office
Hyderabad,Water,2024-12-01,531.0,407.0,Local Fund,WASH Program,662,Medium,PK-HYD,liters,Mobile App,2024-12-23,124.0,Field verified
Karachi,Water,2024-11-01,3586.0,2559.0,Local Fund,WASH Program,153,Medium,PK-KAR,liters,Survey,2024-11-19,1027.0,Partner discrepancy noted
Gujranwala,Hygiene,2024-06-01,4759.0,3517.0,Local Fund,WASH Program,104,Low,PK-GUJ,kits,Survey,2024-06-18,1242.0,Reported by district office
Rawalpindi,Hygiene,2026-08-01,1533.0,1708.0,WFP,WASH Program,2339,High,PK-RAW,kits,Survey,2026-08-17,-175.0,
Hyderabad,Hygiene,2026-09-01,4162.0,1503.0,Local Fund,WASH Program,2145,Medium,PK-HYD,kits,Partner Report,2026-09-18,2659.0,Reported by district office
Quetta,Clothing,2026-11-01,4228.0,3055.0,Local Fund,Winter Aid,1431,Low,PK-QUE,pieces,Manual Entry,2026-11-22,1191.0,Field verified
Quetta,Medicine,2025-10-01,,1682.0,UNICEF,Health Support,1853,Low,PK-QUE,kits,Mobile App,2025-10-19,,Reported by district office
Hyderabad,Hygiene,2026-07-01,230.0,190.0,Red Crescent,WASH Program,2431,Low,PK-HYD,kits,Manual Entry,2026-07-03,40.0,Partner discrepancy noted
Peshawar,Clothing,2025-09-01,3207.0,2654.0,Red Crescent,Winter Aid,2814,Low,PK-PES,pieces,Mobile App,2025-09-20,553.0,Pending review
Rawalpindi,Water,2025-07-01,277.0,224.0,UNHCR,WASH Program,1332,Medium,PK-RAW,liters,Survey,2025-07-19,53.0,Reported by district office
Sialkot,Shelter,2025-06-01,2664.0,1160.0,UNICEF,Shelter Support,1962,Low,PK-SIA,units,Partner Report,2025-06-16,1504.0,
Karachi,Food,2025-07-01,1196.0,453.0,Private Donor,Nutrition Program,990,Medium,PK-KAR,kg,Partner Report,2025-07-02,743.0,
Rawalpindi,Hygiene,2024-02-01,2562.0,1854.0,WFP,WASH Program,2468,Low,PK-RAW,kits,Survey,2024-02-25,708.0,Pending review
Quetta,Medicine,2025-06-01,2699.0,2699.0,WFP,Health Support,116,High,PK-QUE,kits,Partner Report,2025-06-23,0.0,
Faisalabad,Food,2026-11-01,4793.0,4452.0,Private Donor,Nutrition Program,264,Medium,PK-FAI,kg,Mobile App,2026-11-06,341.0,
Peshawar,Medicine,2024-10-01,4697.0,2535.0,WFP,Health Support,2525,High,PK-PES,kits,Partner Report,2024-10-06,2162.0,Pending review
Quetta,Medicine,2025-12-01,3307.0,2501.0,Local Fund,Health Support,383,Low,PK-QUE,kits,Partner Report,2025-12-15,806.0,Pending review
Karachi,Shelter,2025-12-01,2606.0,2601.0,USAID,Shelter Support,1404,Medium,PK-KAR,units,Manual Entry,2025-12-20,5.0,Field verified
Peshawar,Food,2025-12-01,,2027.0,Red Crescent,Nutrition Program,1050,High,PK-PES,kg,Manual Entry,2025-12-04,,
Quetta,Water,2024-08-01,1602.0,,UNHCR,WASH Program,1859,Low,PK-QUE,liters,Partner Report,2024-08-11,,Partner discrepancy noted
Sargodha,Clothing,2025-09-01,4054.0,3707.0,WFP,Winter Aid,797,High,PK-SAR,pieces,Partner Report,2025-09-21,347.0,
Rawalpindi,Shelter,2026-04-01,3431.0,2969.0,WFP,Shelter Support,1028,Low,PK-RAW,units,Partner Report,2026-04-09,462.0,Reported by district office
Peshawar,Food,2024-10-01,971.0,437.0,Local Fund,Nutrition Program,819,High,PK-PES,kg,Manual Entry,2024-10-25,534.0,Pending review
Sargodha,Clothing,2025-03-01,3092.0,,USAID,Winter Aid,733,High,PK-SAR,pieces,Partner Report,2025-03-24,,Pending review
Faisalabad,Food,2024-02-01,3195.0,2374.0,USAID,Nutrition Program,1374,Medium,PK-FAI,kg,Mobile App,2024-02-10,821.0,Reported by district office
Hyderabad,Water,2025-11-01,1820.0,1448.0,USAID,WASH Program,2044,Medium,PK-HYD,liters,Partner Report,2025-11-07,372.0,
Sialkot,Clothing,2024-02-01,3326.0,3326.0,USAID,Winter Aid,2766,Medium,PK-SIA,pieces,Partner Report,2024-02-25,21.0,Partner discrepancy noted
Karachi,Medicine,2024-02-01,2408.0,2070.0,Red Crescent,Health Support,2331,High,PK-KAR,kits,Survey,2024-02-18,338.0,Reported by district office
Sialkot,Shelter,2025-09-01,2827.0,2413.0,USAID,Shelter Support,1845,High,PK-SIA,units,Mobile App,2025-09-25,414.0,Partner discrepancy noted
Quetta,Hygiene,2025-01-01,4905.0,4905.0,Private Donor,WASH Program,1074,High,PK-QUE,kits,Mobile App,2025-01-24,16.0,
Lahore,Hygiene,2024-09-01,1858.0,1858.0,Red Crescent,WASH Program,521,High,PK-LAH,kits,Mobile App,2024-09-03,-46.0,Partner discrepancy noted
Sargodha,Hygiene,2024-02-01,3150.0,,Red Crescent,WASH Program,1976,High,PK-SAR,kits,Partner Report,2024-02-10,,
Sargodha,Medicine,2025-06-01,,2473.0,Private Donor,Health Support,1857,High,PK-SAR,kits,Survey,2025-06-25,,Partner discrepancy noted
Quetta,Shelter,2025-06-01,3586.0,4110.0,UNHCR,Shelter Support,1109,Medium,PK-QUE,units,Manual Entry,2025-06-10,-524.0,
Peshawar,Food,2025-09-01,2859.0,,Private Donor,Nutrition Program,170,Medium,PK-PES,kg,Mobile App,2025-09-03,,Partner discrepancy noted
Karachi,Clothing,2025-01-01,5058.0,,UNICEF,Winter Aid,1426,High,PK-KAR,pieces,Mobile App,2025-01-10,,Pending review
Bahawalpur,Shelter,2024-04-01,3707.0,3707.0,USAID,Shelter Support,2644,High,PK-BAH,units,Mobile App,2024-04-02,0.0,Field verified
Karachi,Water,2024-10-01,4804.0,5349.0,Red Crescent,WASH Program,2162,High,PK-KAR,liters,Survey,2024-10-15,-545.0,Field verified
Sargodha,Water,2026-02-01,,296.0,Local Fund,WASH Program,2846,Low,PK-SAR,liters,Mobile App,2026-02-06,,
Gujranwala,Clothing,2024-12-01,4820.0,5231.0,Private Donor,Winter Aid,1354,High,PK-GUJ,pieces,Manual Entry,2024-12-17,-411.0,Reported by district office
Bahawalpur,Shelter,2024-01-01,3021.0,2458.0,USAID,Shelter Support,1277,High,PK-BAH,units,Manual Entry,2024-01-16,563.0,Reported by district office
Sialkot,Food,2025-08-01,4954.0,4478.0,Private Donor,Nutrition Program,2412,Medium,PK-SIA,kg,Partner Report,2025-08-10,476.0,Partner discrepancy noted
Gujranwala,Food,2026-08-01,1419.0,1357.0,Red Crescent,Nutrition Program,2675,High,PK-GUJ,kg,Manual Entry,2026-08-10,62.0,Partner discrepancy noted
Multan,Food,2026-09-01,,2696.0,USAID,Nutrition Program,2331,Medium,PK-MUL,kg,Survey,2026-09-06,,
Bahawalpur,Medicine,2024-10-01,2024.0,1013.0,Private Donor,Health Support,2952,Low,PK-BAH,kits,Mobile App,2024-10-20,1011.0,Reported by district office
Bahawalpur,Clothing,2024-06-01,2741.0,2049.0,USAID,Winter Aid,1315,Low,PK-BAH,pieces,Manual Entry,2024-06-07,747.0,Partner discrepancy noted
Quetta,Clothing,2025-01-01,1760.0,1315.0,Local Fund,Winter Aid,991,Low,PK-QUE,pieces,Mobile App,2025-01-04,445.0,Partner discrepancy noted
Multan,Clothing,2026-11-01,988.0,1060.0,UNHCR,Winter Aid,1319,Low,PK-MUL,pieces,Partner Report,2026-11-14,-72.0,
Karachi,Shelter,2025-03-01,3383.0,1739.0,WFP,Shelter Support,1087,High,PK-KAR,units,Partner Report,2025-03-19,1644.0,Pending review
Bahawalpur,Water,2026-11-01,3363.0,2511.0,UNHCR,WASH Program,331,High,PK-BAH,liters,Mobile App,2026-11-17,852.0,
Sialkot,Hygiene,2026-12-01,,324.0,UNICEF,WASH Program,2789,High,PK-SIA,kits,Partner Report,2026-12-08,,Field verified
Peshawar,Medicine,2025-10-01,4287.0,3770.0,Local Fund,Health Support,391,High,PK-PES,kits,Partner Report,2025-10-01,517.0,Pending review
Hyderabad,Water,2024-10-01,3964.0,3476.0,Red Crescent,WASH Program,980,Medium,PK-HYD,liters,Survey,2024-10-05,488.0,Field verified
Karachi,Food,2026-06-01,1224.0,1111.0,Red Crescent,Nutrition Program,2132,Medium,PK-KAR,kg,Partner Report,2026-06-12,113.0,
Gujranwala,Hygiene,2024-12-01,2127.0,1492.0,UNHCR,WASH Program,2041,Low,PK-GUJ,kits,Survey,2024-12-16,635.0,Field verified
Hyderabad,Clothing,2025-02-01,1064.0,413.0,Red Crescent,Winter Aid,1354,Low,PK-HYD,pieces,Survey,2025-02-02,651.0,Pending review
Rawalpindi,Medicine,2024-11-01,4420.0,3961.0,Local Fund,Health Support,2143,Low,PK-RAW,kits,Mobile App,2024-11-02,459.0,Pending review
Gujranwala,Shelter,2026-12-01,3738.0,3738.0,Red Crescent,Shelter Support,1287,Low,PK-GUJ,units,Survey,2026-12-17,0.0,Partner discrepancy noted
Sialkot,Medicine,2024-12-01,449.0,347.0,Private Donor,Health Support,1019,Medium,PK-SIA,kits,Partner Report,2024-12-16,102.0,Pending review
Hyderabad,Medicine,2025-09-01,3858.0,3845.0,USAID,Health Support,1328,High,PK-HYD,kits,Manual Entry,2025-09-20,13.0,Partner discrepancy noted
Bahawalpur,Food,2026-07-01,5405.0,4880.0,USAID,Nutrition Program,1939,Medium,PK-BAH,kg,Mobile App,2026-07-03,525.0,Pending review
Sialkot,Shelter,2025-07-01,2283.0,,WFP,Shelter Support,1867,High,PK-SIA,units,Manual Entry,2025-07-06,,Partner discrepancy noted
Sargodha,Clothing,2024-06-01,5438.0,5391.0,USAID,Winter Aid,352,Low,PK-SAR,pieces,Manual Entry,2024-06-04,59.0,Pending review
Peshawar,Medicine,2025-12-01,5014.0,4227.0,WFP,Health Support,1861,Low,PK-PES,kits,Survey,2025-12-19,787.0,
Multan,Medicine,2025-02-01,3880.0,3120.0,Private Donor,Health Support,1259,High,PK-MUL,kits,Survey,2025-02-25,760.0,Field verified
Peshawar,Shelter,2025-04-01,4748.0,5229.0,Private Donor,Shelter Support,379,Medium,PK-PES,units,Manual Entry,2025-04-14,-481.0,Reported by district office
Hyderabad,Clothing,2025-10-01,1335.0,1240.0,USAID,Winter Aid,214,Medium,PK-HYD,pieces,Survey,2025-10-25,95.0,Pending review
Multan,Food,2025-08-01,1442.0,1442.0,WFP,Nutrition Program,1038,High,PK-MUL,kg,Manual Entry,2025-08-01,0.0,Reported by district office
Rawalpindi,Clothing,2026-04-01,901.0,792.0,Private Donor,Winter Aid,623,Medium,PK-RAW,pieces,Survey,2026-04-06,109.0,Field verified
Peshawar,Hygiene,2025-07-01,5094.0,4148.0,UNICEF,WASH Program,1209,Medium,PK-PES,kits,Partner Report,2025-07-24,946.0,
Sargodha,Medicine,2024-08-01,5138.0,4035.0,UNICEF,Health Support,437,Low,PK-SAR,kits,Manual Entry,2024-08-24,1103.0,Partner discrepancy noted
Multan,Food,2026-12-01,3560.0,3753.0,UNHCR,Nutrition Program,1458,Medium,PK-MUL,kg,Survey,2026-12-15,-193.0,Reported by district office
Peshawar,Clothing,2024-06-01,4556.0,4345.0,UNHCR,Winter Aid,1370,Medium,PK-PES,pieces,Survey,2024-06-12,211.0,Partner discrepancy noted
Hyderabad,Shelter,2026-10-01,349.0,153.0,Local Fund,Shelter Support,793,Medium,PK-HYD,units,Manual Entry,2026-10-05,196.0,
Sialkot,Food,2025-01-01,573.0,483.0,Private Donor,Nutrition Program,1431,Medium,PK-SIA,kg,Mobile App,2025-01-13,90.0,Reported by district office
Gujranwala,Water,2025-07-01,2005.0,618.0,Private Donor,WASH Program,2056,High,PK-GUJ,liters,Survey,2025-07-06,1387.0,Partner discrepancy noted
Lahore,Food,2025-10-01,1884.0,2125.0,UNHCR,Nutrition Program,2173,High,PK-LAH,kg,Mobile App,2025-10-14,-241.0,Reported by district office
Sargodha,Food,2024-05-01,3698.0,3417.0,WFP,Nutrition Program,1800,Low,PK-SAR,kg,Survey,2024-05-13,281.0,
Sargodha,Medicine,2026-02-01,1254.0,1425.0,Private Donor,Health Support,2289,Low,PK-SAR,kits,Mobile App,2026-02-11,-171.0,Field verified
Multan,Water,2025-12-01,1502.0,1051.0,Red Crescent,WASH Program,1763,High,PK-MUL,liters,Survey,2025-12-15,494.0,Pending review
Multan,Clothing,2025-10-01,5166.0,4582.0,Red Crescent,Winter Aid,1891,Medium,PK-MUL,pieces,Partner Report,2025-10-17,584.0,Field verified
Sialkot,Clothing,2024-07-01,3488.0,3488.0,WFP,Winter Aid,397,High,PK-SIA,pieces,Manual Entry,2024-07-13,16.0,Reported by district office
Sargodha,Medicine,2025-09-01,2082.0,2082.0,USAID,Health Support,2280,High,PK-SAR,kits,Partner Report,2025-09-20,0.0,Partner discrepancy noted
Hyderabad,Shelter,2024-07-01,3029.0,2787.0,UNICEF,Shelter Support,2979,Medium,PK-HYD,units,Mobile App,2024-07-21,242.0,Partner discrepancy noted
Sargodha,Water,2024-06-01,3567.0,1871.0,UNHCR,WASH Program,1620,Medium,PK-SAR,liters,Mobile App,2024-06-25,1696.0,Pending review
Multan,Water,2025-08-01,4437.0,4084.0,Red Crescent,WASH Program,1073,Medium,PK-MUL,liters,Survey,2025-08-23,353.0,Pending review
Sialkot,Water,2026-11-01,521.0,405.0,Red Crescent,WASH Program,2278,High,PK-SIA,liters,Partner Report,2026-11-03,116.0,Reported by district office
Lahore,Hygiene,2025-08-01,1279.0,,Local Fund,WASH Program,2889,Low,PK-LAH,kits,Survey,2025-08-01,,Partner discrepancy noted
Faisalabad,Hygiene,2025-01-01,5219.0,5519.0,WFP,WASH Program,695,High,PK-FAI,kits,Mobile App,2025-01-24,-339.0,Reported by district office
Gujranwala,Hygiene,2025-06-01,1771.0,1771.0,USAID,WASH Program,977,High,PK-GUJ,kits,Survey,2025-06-10,0.0,Partner discrepancy noted
Bahawalpur,Hygiene,2025-11-01,1273.0,1242.0,WFP,WASH Program,1305,Medium,PK-BAH,kits,Mobile App,2025-11-22,31.0,Reported by district office
Quetta,Medicine,2024-10-01,1581.0,1402.0,Red Crescent,Health Support,2000,Medium,PK-QUE,kits,Partner Report,2024-10-13,179.0,Pending review
Bahawalpur,Shelter,2025-10-01,4875.0,4875.0,UNHCR,Shelter Support,2288,Medium,PK-BAH,units,Manual Entry,2025-10-02,0.0,Field verified
Rawalpindi,Water,2026-07-01,446.0,320.0,WFP,WASH Program,2592,High,PK-RAW,liters,Survey,2026-07-09,167.0,Partner discrepancy noted
Bahawalpur,Shelter,2024-04-01,3218.0,2623.0,Private Donor,Shelter Support,1705,High,PK-BAH,units,Mobile App,2024-04-08,595.0,Field verified
Karachi,Clothing,2025-07-01,4889.0,,Private Donor,Winter Aid,959,Medium,PK-KAR,pieces,Survey,2025-07-18,,Reported by district office
Karachi,Food,2026-04-01,2088.0,2088.0,WFP,Nutrition Program,1911,Medium,PK-KAR,kg,Survey,2026-04-23,38.0,Pending review
Lahore,Shelter,2025-05-01,3717.0,3654.0,WFP,Shelter Support,2184,High,PK-LAH,units,Partner Report,2025-05-10,63.0,Reported by district office
Faisalabad,Food,2024-05-01,4673.0,3875.0,USAID,Nutrition Program,2277,Medium,PK-FAI,kg,Survey,2024-05-22,798.0,Field verified
Gujranwala,Shelter,2024-03-01,4116.0,2218.0,UNHCR,Shelter Support,362,Low,PK-GUJ,units,Survey,2024-03-13,1898.0,Field verified
Multan,Medicine,2026-11-01,1314.0,,USAID,Health Support,2500,Medium,PK-MUL,kits,Survey,2026-11-03,,Partner discrepancy noted
Sargodha,Food,2024-03-01,707.0,748.0,USAID,Nutrition Program,1853,Medium,PK-SAR,kg,Survey,2024-03-06,-41.0,Field verified
Quetta,Clothing,2025-01-01,1760.0,1315.0,Local Fund,Winter Aid,991,Low,PK-QUE,pieces,Mobile App,2025-01-04,445.0,Partner discrepancy noted
Karachi,Shelter,2025-12-01,2606.0,2601.0,USAID,Shelter Support,1404,Medium,PK-KAR,units,Manual Entry,2025-12-20,5.0,Field verified
Quetta,Water,2025-11-01,5104.0,2426.0,Local Fund,WASH Program,2464,Low,PK-QUE,liters,Mobile App,2025-11-11,2678.0,Partner discrepancy noted
Peshawar,Food,2025-02-01,,1511.0,WFP,Nutrition Program,1248,Low,PK-PES,kg,Partner Report,2025-02-11,,Reported by district office
Hyderabad,Food,2024-09-01,4605.0,4295.0,USAID,Nutrition Program,2762,High,PK-HYD,kg,Manual Entry,2024-09-13,310.0,Partner discrepancy noted
Lahore,Hygiene,2026-07-01,4147.0,3077.0,WFP,WASH Program,2538,High,PK-LAH,kits,Survey,2026-07-13,1070.0,Partner discrepancy noted
Gujranwala,Water,2026-09-01,3983.0,3872.0,WFP,WASH Program,2148,Low,PK-GUJ,liters,Survey,2026-09-13,111.0,Pending review
Multan,Clothing,2026-08-01,5487.0,4952.0,UNICEF,Winter Aid,2272,High,PK-MUL,pieces,Mobile App,2026-08-16,535.0,
Bahawalpur,Hygiene,2026-01-01,4787.0,4577.0,Private Donor,WASH Program,1306,Low,PK-BAH,kits,Manual Entry,2026-01-14,210.0,Pending review
