Beneficiary_Region,Commodity_Type,Reporting_Period,HH_in_Need,Qty_Given,Programme_Category,Priority_Level,District_Code,Gap_Balance,Donor_Name,Notes,Record_ID
Hyderabad,Medicine,2025/05/01,190.0,65.0,Emergency,Medium,PK-HYD,125,UNICEF,Reported late,REC02726
Lahore,Shelter,Jul-2025,551.0,317.0,Development,Low,PK-LAH,204,WFP,N/A,REC01117
Quetta,Clothing,Feb-2025,178.0,124.0,Development,Low,PK-QUE,54,UNICEF,Delayed due to weather,REC00595
Gujranwala,Shelter,Feb-2026,678.0,500.0,Emergency,High,PK-GUJ,178,Local Fund,Verified by field officer,REC01396
Sialkot,Clothing,Jun-2025,625.0,312.0,Recovery,Low,PK-SIA,313,Local Fund,Reported late,REC01847
Sargodha,Shelter,Mar-2026,344.0,253.0,Emergency,Medium,PK-SAR,118,Govt Relief Fund,Partial delivery,REC02862
Sargodha,Water,06/01/2026,246.0,134.0,Seasonal Aid,Medium,PK-SAR,112,UNICEF,Awaiting confirmation,REC01388
Lahore,Medicine,2025/04/01,644.0,589.0,Seasonal Aid,Medium,PK-LAH,55,Govt Relief Fund,Verified by field officer,REC01812
Sialkot,Clothing,Dec-2025,526.0,385.0,Emergency,Low,PK-SIA,141,Red Crescent,,REC01710
Multan,Food,Feb-2025,397.0,415.0,Development,Low,PK-MUL,-18,UNHCR,Verified by field officer,REC02066
Multan,Shelther,2025-02-01,796.0,748.0,Development,Low,PK-MUL,48,Govt Relief Fund,Partial delivery,REC00739
Rawalpindi,Medicine,06/01/2026,323.0,329.0,Seasonal Aid,Medium,PK-RAW,-6,UNICEF,Delayed due to weather,REC01414
Sargodha,Medicine,Feb-2025,261.0,185.0,Recovery,High,PK-SAR,76,UNICEF,Partial delivery,REC01781
Hyderabad,Shelter,11/01/2025,502.0,374.0,Emergency,Low,PK-HYD,128,UNICEF,Delayed due to weather,REC01608
Hyderabad,Clothing,2026-09-01,300.0,278.0,Seasonal Aid,Medium,PK-HYD,22,USAID,N/A,REC02109
Lahore,Water,Jul-2026,354.0,230.0,Emergency,Medium,PK-LAH,124,UNICEF,Verified by field officer,REC00987
Gujranwala,Shelter,Oct-2025,332.0,346.0,Seasonal Aid,Medium,PK-GUJ,-14,WFP,Verified by field officer,REC02870
Gujranwala,Hygiene,Nov-2025,588.0,318.0,Seasonal Aid,Medium,PK-GUJ,270,UNHCR,Reported late,REC01057
Sargodha,Hygiene,2025-10-01,476.0,338.0,Development,High,PK-SAR,138,UNICEF,Awaiting confirmation,REC01129
Rawalpindi,Hygiene,Oct-2026,816.0,765.0,Emergency,High,PK-RAW,51,WFP,,REC00630
Sargodha,Medicine,Mar-2026,618.0,264.0,Development,High,PK-SAR,354,WFP,Reported late,REC01963
Sargodha,Hygiene,2026/10/01,541.0,541.0,Seasonal Aid,Low,PK-SAR,0,WFP,Awaiting confirmation,REC00957
Lahore,Clothing,2026-12-01,655.0,,Seasonal Aid,High,PK-LAH,-13,UNHCR,,REC00770
Gujranwala,Medicine,2026-09-01,476.0,395.0,Seasonal Aid,Medium,PK-GUJ,81,Govt Relief Fund,Verified by field officer,REC00216
Karachi,Hygiene,08/01/2026,537.0,317.0,Seasonal Aid,High,PK-KAR,220,WFP,N/A,REC01318
Quetta,Shelter,2025/07/01,884.0,434.0,Development,High,PK-QUE,450,WFP,Verified by field officer,REC01456
Gujranwala,Food,Mar-2026,852.0,708.0,Recovery,High,PK-GUJ,144,USAID,Reported late,REC01461
Sialkot,Shelter,2025-12-01,161.0,153.0,Recovery,High,PK-SIA,8,Govt Relief Fund,Reported late,REC00292
Karachi,Hygiene,Aug-2026,572.0,375.0,Recovery,Low,PK-KAR,197,WFP,Awaiting confirmation,REC02055
Peshawar,Water,2026-10-01,130.0,69.0,Seasonal Aid,High,PK-PES,61,Local Fund,N/A,REC00835
Sialkot,Water,2025-02-01,185.0,136.0,Recovery,High,PK-SIA,49,UNICEF,Partial delivery,REC01146
Quetta,Clothing,2025-05-01,96.0,93.0,Recovery,High,PK-QUE,3,USAID,,REC02466
Lahore,Hygiene,07/01/2025,623.0,645.0,Recovery,Low,PK-LAH,-22,Govt Relief Fund,,REC00227
Karachi,Medicine,Apr-2025,736.0,399.0,Development,Low,PK-KAR,337,Local Fund,,REC00542
Sargodha,Hygiene,01/01/2026,793.0,275.0,Seasonal Aid,Medium,PK-SAR,518,USAID,N/A,REC02038
Sargodha,Medicine,04/01/2025,760.0,579.0,Seasonal Aid,Low,PK-SAR,181,UNICEF,Reported late,REC02118
Bahawalpur,Clothing,09/01/2026,813.0,374.0,Development,Low,PK-BAH,439,Local Fund,,REC01004
Peshawar,Shelter,2026/09/01,344.0,272.0,Emergency,High,PK-PES,72,Govt Relief Fund,Awaiting confirmation,REC02626
Faisalabad,Food,Apr-2025,98.0,97.0,Development,Low,PK-FAI,1,UNICEF,Awaiting confirmation,REC00217
Sialkot,Water,2026/11/01,282.0,144.0,Recovery,Low,PK-SIA,138,Local Fund,Verified by field officer,REC00720
Multan,Hygiene,08/01/2025,664.0,322.0,Development,High,PK-MUL,342,WFP,Delayed due to weather,REC02764
Gujranwala,Clothing,2025/04/01,283.0,,Seasonal Aid,Medium,PK-GUJ,166,WFP,N/A,REC02174
Lahore,Medicine,01/01/2025,595.0,428.0,,Medium,PK-LAH,167,USAID,Reported late,REC01684
Rawalpindi,Shelter,06/01/2026,442.0,135.0,Emergency,Low,,307,UNHCR,Delayed due to weather,REC01657
Lahore,Shelter,08/01/2025,470.0,232.0,,Medium,PK-LAH,238,Red Crescent,Awaiting confirmation,REC00174
Hyderabad,Food,2026/01/01,894.0,723.0,Seasonal Aid,Medium,PK-HYD,171,USAID,Reported late,REC02970
Lahore,Shelter,2026-02-01,732.0,353.0,Recovery,High,PK-LAH,379,WFP,N/A,REC01294
Faisalabad,Medicine,2025-03-01,589.0,437.0,Development,Medium,PK-FAI,152,Red Crescent,Verified by field officer,REC02163
Quetta,Medicine,2025-09-01,118.0,58.0,Seasonal Aid,Medium,PK-QUE,60,UNICEF,Awaiting confirmation,REC02912
Gujranwala,Food,03/01/2025,412.0,344.0,,High,PK-GUJ,68,Local Fund,Reported late,REC02301
Bahawalpur,Food,09/01/2026,850.0,680.0,,Medium,PK-BAH,204,UNHCR,Delayed due to weather,REC01711
Gujranwala,Food,01/01/2025,729.0,363.0,Development,High,PK-GUJ,366,Govt Relief Fund,Awaiting confirmation,REC00322
Multan,Medicine,2026/12/01,760.0,380.0,Seasonal Aid,Low,PK-MUL,380,WFP,Partial delivery,REC00324
Faisalabad,Shelter,Jan-2025,770.0,532.0,Recovery,High,PK-FAI,238,Local Fund,,REC00270
Quetta,Medicine,2025-05-01,201.0,163.0,Seasonal Aid,High,PK-QUE,38,WFP,Awaiting confirmation,REC01752
Peshawar,Food,2026/06/01,754.0,447.0,Seasonal Aid,Low,PK-PES,307,Red Crescent,Reported late,REC02316
Hyderabad,Hygiene,Nov-2025,569.0,580.0,Development,High,,-11,WFP,,REC00754
Karachi,Medicine,2025/09/01,110.0,106.0,Development,High,,4,Govt Relief Fund,Delayed due to weather,REC02653
Rawalpindi,Shelter,May-2026,411.0,214.0,Emergency,High,PK-RAW,202,UNHCR,Verified by field officer,REC00427
Karachi,Hygiene,06/01/2026,209.0,,Seasonal Aid,Medium,PK-KAR,50,UNHCR,Verified by field officer,REC00004
Faisalabad,Shelter,05/01/2025,632.0,648.0,Emergency,Low,PK-FAI,-16,Govt Relief Fund,Verified by field officer,REC02607
Sialkot,Clothing,Feb-2025,833.0,774.0,Development,High,PK-SIA,59,Govt Relief Fund,Awaiting confirmation,REC01078
Rawalpindi,Shelter,2026-09-01,303.0,168.0,Recovery,Medium,PK-RAW,135,WFP,,REC02534
Hyderabad,Hygiene,2025-05-01,819.0,,Emergency,Medium,PK-HYD,546,UNHCR,,REC02205
Rawalpindi,Shelter,2025-08-01,869.0,517.0,Recovery,High,PK-RAW,352,Local Fund,Awaiting confirmation,REC00565
Peshawar,Clothing,04/01/2025,300.0,285.0,Recovery,Low,PK-PES,15,UNICEF,Reported late,REC01903
Lahore,Clothing,Jan-2025,703.0,364.0,Seasonal Aid,Medium,PK-LAH,339,UNICEF,Awaiting confirmation,REC02065
Gujranwala,Shelter,2026-02-01,170.0,119.0,Seasonal Aid,High,PK-GUJ,51,UNHCR,Awaiting confirmation,REC01368
Sialkot,food,Dec-2026,194.0,190.0,Recovery,High,,4,WFP,,REC00357
Multan,Medicine,09/01/2026,523.0,206.0,Development,Low,PK-MUL,317,UNICEF,Delayed due to weather,REC01568
Sialkot,Water,2026-11-01,613.0,381.0,Emergency,Low,PK-SIA,232,UNICEF,Reported late,REC02648
Faisalabad,Shelter,01/01/2026,147.0,66.0,Development,Medium,PK-FAI,81,Red Crescent,Delayed due to weather,REC01354
Faisalabad,Food,04/01/2026,296.0,213.0,Emergency,Low,PK-FAI,83,Red Crescent,Awaiting confirmation,REC01238
Karachi,Hygiene,11/01/2025,146.0,146.0,Recovery,Low,PK-KAR,0,Local Fund,Partial delivery,REC02454
Gujranwala,Shelter,2026-05-01,678.0,598.0,Seasonal Aid,Medium,PK-GUJ,80,Govt Relief Fund,,REC02596
Gujranwala,Clothing,03/01/2026,520.0,382.0,Development,Medium,PK-GUJ,138,Local Fund,Partial delivery,REC01810
Quetta,Hygiene,Mar-2025,630.0,333.0,Recovery,Low,PK-QUE,297,UNHCR,Delayed due to weather,REC02383
Peshawar,Medicine,06/01/2026,168.0,172.0,Emergency,Medium,PK-PES,-4,UNICEF,,REC02831
Karachi,Medicine,Apr-2025,137.0,92.0,Emergency,High,PK-KAR,45,WFP,Verified by field officer,REC00474
Gujranwala,Medicine,2026/10/01,773.0,592.0,Seasonal Aid,,PK-GUJ,181,Red Crescent,Reported late,REC00247
Faisalabad,Shelter,Aug-2026,380.0,222.0,Seasonal Aid,High,PK-FAI,158,WFP,Verified by field officer,REC00201
Lahore,Water,2026-04-01,566.0,230.0,Emergency,Medium,PK-LAH,336,Red Crescent,Verified by field officer,REC02734
Gujranwala,Water,Oct-2026,191.0,118.0,Seasonal Aid,High,PK-GUJ,73,Red Crescent,Awaiting confirmation,REC01668
Hyderabad,Hygiene,01/01/2025,111.0,113.0,Seasonal Aid,High,PK-HYD,-2,UNICEF,Partial delivery,REC01478
Gujranwala,Food,2026/08/01,176.0,78.0,Seasonal Aid,High,PK-GUJ,98,USAID,Awaiting confirmation,REC00181
Lahore,Clothing,02/01/2026,726.0,557.0,Development,Medium,PK-LAH,169,UNICEF,Awaiting confirmation,REC01714
Sialkot,Hygiene,May-2025,505.0,,Recovery,Low,PK-SIA,284,Govt Relief Fund,Delayed due to weather,REC00350
Sargodha,Hygiene,Apr-2025,382.0,226.0,Emergency,Medium,PK-SAR,156,UNICEF,Reported late,REC00955
Bahawalpur,Shelter,2026/11/01,496.0,166.0,Emergency,High,PK-BAH,330,USAID,,REC02110
Rawalpindi,Hygiene,2026/03/01,587.0,523.0,Emergency,Low,PK-RAW,64,UNICEF,Partial delivery,REC02719
Bahawalpur,Shelter,May-2025,689.0,634.0,Recovery,Low,PK-BAH,55,Local Fund,Verified by field officer,REC02801
Multan,Food,2025/07/01,519.0,317.0,,Low,PK-MUL,202,Red Crescent,Reported late,REC02730
Gujranwala,Medicine,Aug-2026,597.0,530.0,Seasonal Aid,High,PK-GUJ,67,USAID,Delayed due to weather,REC02203
Faisalabad,Medicine,03/01/2026,693.0,463.0,Emergency,Medium,,204,UNHCR,Partial delivery,REC02047
Hyderabad,Water,Feb-2026,790.0,585.0,Seasonal Aid,High,PK-HYD,205,Red Crescent,Partial delivery,REC00991
Karachi,Medicine,2025/11/01,208.0,190.0,Recovery,Low,PK-KAR,18,WFP,N/A,REC01788
Faisalabad,Medicine,07/01/2025,80.0,69.0,Emergency,Low,PK-FAI,11,WFP,Awaiting confirmation,REC02484
Peshawar,Shelter,Oct-2026,734.0,579.0,Seasonal Aid,Low,PK-PES,155,Red Crescent,Awaiting confirmation,REC02650
Quetta,Shelter,2026/03/01,641.0,399.0,Recovery,Medium,PK-QUE,242,Local Fund,Awaiting confirmation,REC00561
Gujranwala,Water,2025-10-01,360.0,236.0,Recovery,Low,PK-GUJ,124,UNHCR,,REC02997
Multan,Hygiene,2026-10-01,504.0,468.0,Emergency,Low,PK-MUL,23,WFP,,REC00345
Karachi,Clothing,2026/03/01,807.0,389.0,Seasonal Aid,Low,PK-KAR,418,Local Fund,Partial delivery,REC01425
Lahore,Hygiene,09/01/2025,540.0,426.0,Seasonal Aid,Medium,PK-LAH,114,UNICEF,N/A,REC02332
Quetta,Clothing,2026-08-01,680.0,346.0,Recovery,Low,PK-QUE,334,Govt Relief Fund,Delayed due to weather,REC00731
Hyderabad,Hygiene,Jun-2026,484.0,231.0,Emergency,Medium,PK-HYD,253,WFP,,REC01119
Gujranwala,Hygiene,2026/03/01,803.0,755.0,Emergency,Medium,PK-GUJ,48,Govt Relief Fund,,REC01882
Multan,Food,05/01/2026,787.0,611.0,Seasonal Aid,Medium,PK-MUL,176,Govt Relief Fund,N/A,REC00588
Sialkot,Food,11/01/2026,828.0,422.0,Emergency,Low,PK-SIA,443,UNICEF,Awaiting confirmation,REC02160
Hyderabad,Hygiene,11/01/2025,823.0,471.0,Emergency,High,PK-HYD,352,Red Crescent,Verified by field officer,REC02649
Sargodha,Hygiene,2026/09/01,626.0,482.0,Seasonal Aid,High,PK-SAR,144,UNICEF,,REC00177
Faisalabad,Water,Sep-2025,772.0,651.0,Emergency,Low,PK-FAI,121,Govt Relief Fund,,REC00455
Gujranwala,Shelter,Sep-2026,653.0,642.0,Recovery,Low,PK-GUJ,11,USAID,Verified by field officer,REC00373
Multan,Food,09/01/2025,464.0,233.0,Seasonal Aid,High,PK-MUL,231,UNICEF,Delayed due to weather,REC02848
Faisalabad,Medicine,2025/01/01,713.0,493.0,Development,Medium,PK-FAI,220,USAID,Verified by field officer,REC01458
Bahawalpur,Food,12/01/2025,802.0,309.0,Seasonal Aid,,PK-BAH,493,Red Crescent,Verified by field officer,REC02531
Karachi,Medicine,03/01/2026,193.0,124.0,Recovery,Medium,PK-KAR,69,UNHCR,Partial delivery,REC02176
Gujranwala,Water,06/01/2025,640.0,460.0,Seasonal Aid,Low,PK-GUJ,180,UNHCR,,REC02455
Rawalpindi,Hygiene,02/01/2026,235.0,158.0,Emergency,High,PK-RAW,77,Local Fund,Verified by field officer,REC02307
Rawalpindi,Hygiene,09/01/2026,730.0,609.0,Emergency,Medium,,121,Local Fund,,REC00962
Bahawalpur,Shelter,04/01/2025,305.0,126.0,Emergency,Low,PK-BAH,179,Red Crescent,Delayed due to weather,REC01960
Karachi,Shelter,2025/12/01,606.0,414.0,Seasonal Aid,High,PK-KAR,192,UNHCR,,REC00601
Bahawalpur,Clothing,06/01/2025,611.0,331.0,Development,Low,PK-BAH,280,WFP,,REC00317
Sialkot,Shelter,Oct-2025,277.0,224.0,Recovery,High,PK-SIA,53,USAID,Delayed due to weather,REC02737
Sargodha,Water,08/01/2025,567.0,568.0,Emergency,Low,PK-SAR,-1,UNHCR,Reported late,REC00783
Lahore,Water,2025-02-01,280.0,264.0,Emergency,High,PK-LAH,16,Govt Relief Fund,N/A,REC01405
Quetta,Hygiene,2025/11/01,217.0,144.0,Seasonal Aid,Low,PK-QUE,73,WFP,Reported late,REC02915
Bahawalpur,Medicine,2026-01-01,490.0,411.0,Emergency,High,PK-BAH,79,Red Crescent,,REC01257
Faisalabad,Clothing,2025-03-01,521.0,356.0,Recovery,Medium,PK-FAI,165,Local Fund,Partial delivery,REC01143
Lahore,Medicine,2025-06-01,671.0,332.0,Development,High,PK-LAH,339,Local Fund,Partial delivery,REC00593
Gujranwala,Hygiene,Jul-2026,287.0,133.0,Development,Low,PK-GUJ,154,WFP,Partial delivery,REC01299
Sargodha,Hygiene,2026-11-01,641.0,378.0,Emergency,Low,PK-SAR,263,WFP,Awaiting confirmation,REC02382
Sialkot,Clothing,2025-03-01,593.0,510.0,Recovery,Medium,PK-SIA,83,UNICEF,Reported late,REC01013
Hyderabad,Water,2025/01/01,532.0,420.0,Recovery,High,PK-HYD,112,Red Crescent,,REC01819
Bahawalpur,Medicine,2026/01/01,721.0,731.0,Emergency,High,PK-BAH,-10,Local Fund,Awaiting confirmation,REC02965
Bahawalpur,Water,01/01/2025,423.0,302.0,Emergency,Medium,PK-BAH,121,USAID,Awaiting confirmation,REC01254
Peshawar,Food,Jun-2026,104.0,79.0,Development,Low,PK-PES,25,Red Crescent,Partial delivery,REC01860
Rawalpindi,Clothing,2025-01-01,303.0,263.0,Recovery,Low,PK-RAW,40,USAID,,REC01869
Karachi,Shelter,08/01/2025,803.0,680.0,Development,Medium,PK-KAR,109,Red Crescent,Verified by field officer,REC02028
Lahore,Water,07/01/2026,653.0,535.0,Recovery,High,PK-LAH,118,WFP,,REC00283
Karachi,Food,2026-09-01,508.0,360.0,Emergency,Medium,,148,Local Fund,,REC00186
Peshawar,Water,2026-06-01,727.0,695.0,Emergency,Low,PK-PES,32,WFP,Verified by field officer,REC00453
Bahawalpur,Water,Sep-2025,144.0,43.0,Recovery,Medium,PK-BAH,101,UNICEF,Verified by field officer,REC02195
Peshawar,Food,11/01/2026,267.0,251.0,Development,High,PK-PES,16,USAID,Delayed due to weather,REC02658
Hyderabad,Medicine,Oct-2025,687.0,,Emergency,Medium,PK-HYD,169,Red Crescent,Delayed due to weather,REC02872
Lahore,Medicine,2025-08-01,290.0,232.0,Emergency,High,PK-LAH,58,Local Fund,Reported late,REC01544
Faisalabad,Shelter,2026-12-01,337.0,216.0,Emergency,High,PK-FAI,121,Local Fund,Verified by field officer,REC02517
Bahawalpur,Hygiene,2025-10-01,772.0,762.0,Seasonal Aid,Low,PK-BAH,10,UNHCR,Partial delivery,REC02949
Hyderabad,Medicine,2025-08-01,338.0,341.0,Emergency,Medium,PK-HYD,-3,UNICEF,,REC01520
Rawalpindi,Shelter,12/01/2026,588.0,301.0,Development,Medium,PK-RAW,287,UNICEF,Reported late,REC02392
Gujranwala,Clothing,Feb-2026,337.0,305.0,Recovery,High,PK-GUJ,32,Red Crescent,N/A,REC01723
Gujranwala,Water,2026-10-01,793.0,758.0,Recovery,High,PK-GUJ,35,UNHCR,N/A,REC00696
Quetta,Hygiene,2025/05/01,478.0,383.0,Emergency,Medium,PK-QUE,95,Govt Relief Fund,Verified by field officer,REC02652
Sargodha,Medicine,Jan-2025,815.0,321.0,Emergency,Low,PK-SAR,494,WFP,Reported late,REC02249
Rawalpindi,Food,2025-01-01,537.0,344.0,Development,High,PK-RAW,187,UNICEF,Awaiting confirmation,REC02966
Quetta,Food,09/01/2025,740.0,374.0,Emergency,High,PK-QUE,366,WFP,Verified by field officer,REC00849
Faisalabad,Clothing,Dec-2026,479.0,417.0,Development,Medium,PK-FAI,62,Local Fund,Awaiting confirmation,REC02333
Faisalabad,Clothing,2025/07/01,844.0,754.0,Development,High,PK-FAI,90,UNICEF,Reported late,REC02275
Sargodha,Food,2026/08/01,330.0,172.0,Development,Medium,PK-SAR,158,Govt Relief Fund,N/A,REC01988
Bahawalpur,Clothing,2025-05-01,863.0,535.0,Seasonal Aid,Medium,PK-BAH,328,UNICEF,Awaiting confirmation,REC01965
Bahawalpur,Food,01/01/2025,164.0,72.0,Recovery,Medium,PK-BAH,92,UNHCR,,REC01820
Gujranwala,Hygiene,08/01/2026,809.0,394.0,Development,Medium,PK-GUJ,415,WFP,N/A,REC00548
Bahawalpur,Food,11/01/2025,334.0,199.0,Development,Low,PK-BAH,135,Govt Relief Fund,Partial delivery,REC01224
Bahawalpur,Medicine,2025-02-01,333.0,124.0,Emergency,High,PK-BAH,209,WFP,Awaiting confirmation,REC02142
Rawalpindi,Clothing,2026/07/01,373.0,162.0,Development,Medium,PK-RAW,235,Govt Relief Fund,,REC01175
Sargodha,Hygiene,2025/11/01,663.0,283.0,Emergency,Medium,PK-SAR,380,Govt Relief Fund,Delayed due to weather,REC00924
Sialkot,Clothing,Jan-2025,745.0,349.0,Development,High,PK-SIA,396,USAID,Verified by field officer,REC00607
Sargodha,Food,Apr-2026,661.0,584.0,Recovery,Low,PK-SAR,77,WFP,Partial delivery,REC02879
Bahawalpur,Food,2025-09-01,758.0,646.0,Recovery,High,PK-BAH,112,Red Crescent,Partial delivery,REC01197
Peshawar,Clothing,Jan-2026,717.0,232.0,Development,High,PK-PES,485,Govt Relief Fund,Delayed due to weather,REC02529
Karachi,Water,2025-09-01,645.0,411.0,Emergency,Medium,PK-KAR,234,WFP,Verified by field officer,REC00814
Sialkot,Food,2026-09-01,393.0,344.0,Development,Low,PK-SIA,49,Red Crescent,,REC01569
Bahawalpur,Medicine,06/01/2025,626.0,450.0,Development,Low,PK-BAH,176,Red Crescent,,REC02368
Quetta,Food,09/01/2025,564.0,225.0,Emergency,Medium,PK-QUE,339,Local Fund,Verified by field officer,REC00796
Rawalpindi,Water,03/01/2026,442.0,,Development,Medium,PK-RAW,203,WFP,Awaiting confirmation,REC01600
Bahawalpur,Water,Aug-2025,759.0,397.0,Recovery,High,PK-BAH,362,UNHCR,Verified by field officer,REC02213
Lahore,Clothing,2025-03-01,354.0,154.0,,Low,PK-LAH,200,Govt Relief Fund,Verified by field officer,REC01662
Peshawar,Clothing,02/01/2025,220.0,76.0,Recovery,High,,144,UNHCR,,REC02889
Bahawalpur,Medicine,2026/02/01,767.0,451.0,Development,Medium,PK-BAH,316,Red Crescent,Awaiting confirmation,REC00511
Quetta,Clothing,2025-05-01,515.0,183.0,Recovery,Medium,PK-QUE,332,USAID,Delayed due to weather,REC02733
Peshawar,Hygiene,2025-04-01,838.0,798.0,,Medium,PK-PES,40,Red Crescent,Awaiting confirmation,REC02766
Hyderabad,Clothing,Jun-2025,667.0,565.0,Development,Low,PK-HYD,102,WFP,Verified by field officer,REC01686
Hyderabad,Medicine,2025/06/01,896.0,475.0,Emergency,Medium,PK-HYD,421,Local Fund,Partial delivery,REC01651
Multan,Medicine,2026-05-01,367.0,228.0,Seasonal Aid,High,PK-MUL,139,Local Fund,,REC00288
Sargodha,Food,2026-09-01,242.0,110.0,Seasonal Aid,Low,PK-SAR,132,UNICEF,Verified by field officer,REC02075
Bahawalpur,Food,01/01/2025,452.0,257.0,Development,Medium,PK-BAH,195,Govt Relief Fund,Verified by field officer,REC00961
Lahore,Food,2026/10/01,412.0,430.0,Recovery,Low,PK-LAH,-18,Govt Relief Fund,Reported late,REC00076
Sialkot,Medicine,02/01/2025,,462.0,Emergency,Low,PK-SIA,128,UNICEF,Partial delivery,REC01345
Faisalabad,Clothing,2025/08/01,622.0,221.0,Development,Low,PK-FAI,401,USAID,Delayed due to weather,REC01165
Peshawar,Shelter,Apr-2025,375.0,284.0,Development,Medium,PK-PES,91,USAID,N/A,REC00100
Rawalpindi,Medicine,2025-02-01,560.0,283.0,Emergency,High,PK-RAW,277,Red Crescent,Reported late,REC00750
Bahawalpur,Clothing,Apr-2026,484.0,363.0,Emergency,Low,PK-BAH,121,Govt Relief Fund,Delayed due to weather,REC01933
Faisalabad,Medicine,2026-01-01,449.0,441.0,Recovery,Low,PK-FAI,8,UNICEF,Awaiting confirmation,REC01480
Bahawalpur,Clothing,2026-10-01,810.0,552.0,Recovery,High,PK-BAH,258,USAID,Delayed due to weather,REC00306
Sialkot,Clothing,2026-06-01,666.0,424.0,Development,Low,PK-SIA,242,Govt Relief Fund,,REC00316
Quetta,Shelter,2026-11-01,475.0,395.0,Recovery,High,PK-QUE,80,Local Fund,Awaiting confirmation,REC01537
Rawalpindi,Food,2026/12/01,330.0,263.0,Emergency,Medium,PK-RAW,67,Red Crescent,,REC00072
Karachi,Water,Jun-2025,220.0,125.0,Development,High,PK-KAR,95,WFP,N/A,REC00309
Bahawalpur,Hygiene,2025/12/01,383.0,285.0,Seasonal Aid,Medium,PK-BAH,98,UNICEF,Awaiting confirmation,REC01182
Lahore,Medicine,2025-12-01,640.0,380.0,Development,Low,PK-LAH,260,Govt Relief Fund,Verified by field officer,REC02308
Karachi,Clothing,2025-08-01,754.0,492.0,Seasonal Aid,High,PK-KAR,262,UNICEF,Delayed due to weather,REC02358
Sialkot,Food,07/01/2026,471.0,188.0,Recovery,Low,PK-SIA,283,Govt Relief Fund,Awaiting confirmation,REC02593
Rawalpindi,Hygiene,Nov-2026,687.0,627.0,Development,High,PK-RAW,60,Govt Relief Fund,Awaiting confirmation,REC01064
Hyderabad,Clothing,Jul-2025,274.0,216.0,Recovery,High,PK-HYD,58,Govt Relief Fund,Verified by field officer,REC02133
Karachi,Clothng,2026/06/01,132.0,102.0,Recovery,High,PK-KAR,30,Local Fund,Verified by field officer,REC01560
Multan,Food,2026-03-01,279.0,285.0,Recovery,Low,PK-MUL,-6,USAID,Awaiting confirmation,REC00037
Quetta,Food,07/01/2025,707.0,278.0,Emergency,High,PK-QUE,429,USAID,Partial delivery,REC02901
Rawalpindi,Medicine,Mar-2026,404.0,361.0,Emergency,,PK-RAW,43,Red Crescent,Reported late,REC01692
Hyderabad,Hygiene,2026/03/01,478.0,171.0,Seasonal Aid,High,PK-HYD,307,Govt Relief Fund,Verified by field officer,REC00982
Gujranwala,Shelter,09/01/2026,178.0,68.0,Emergency,Low,PK-GUJ,110,UNHCR,Reported late,REC00678
Gujranwala,Food,Jun-2026,622.0,253.0,Development,Low,PK-GUJ,369,Govt Relief Fund,Awaiting confirmation,REC00997
Multan,Medicine,2025-08-01,245.0,210.0,Emergency,Medium,PK-MUL,35,Red Crescent,Partial delivery,REC00826
Sialkot,Shelter,09/01/2025,313.0,309.0,Emergency,High,PK-SIA,4,UNHCR,Delayed due to weather,REC00666
Gujranwala,Clothing,2025-04-01,193.0,103.0,Recovery,High,PK-GUJ,90,Local Fund,Partial delivery,REC00335
Rawalpindi,Clothing,2025/04/01,349.0,152.0,Seasonal Aid,Medium,PK-RAW,197,Govt Relief Fund,,REC00124
Rawalpindi,Shelter,03/01/2025,230.0,149.0,Emergency,High,PK-RAW,81,WFP,N/A,REC02706
Karachi,Food,12/01/2025,511.0,469.0,Emergency,Low,PK-KAR,42,Govt Relief Fund,Awaiting confirmation,REC02744
Faisalabad,Clothing,2026/09/01,672.0,704.0,Seasonal Aid,Medium,PK-FAI,-32,Local Fund,Delayed due to weather,REC01633
Sialkot,Clothing,2025/05/01,655.0,237.0,Emergency,Medium,PK-SIA,418,Govt Relief Fund,N/A,REC02709
Gujranwala,Clothing,Jun-2025,891.0,687.0,Emergency,Medium,PK-GUJ,204,USAID,,REC00366
Lahore,Food,2025-08-01,788.0,270.0,Seasonal Aid,Medium,PK-LAH,518,Local Fund,Partial delivery,REC00285
Lahore,Clothing,05/01/2025,533.0,350.0,Emergency,Low,PK-LAH,183,UNICEF,Partial delivery,REC01423
Peshawar,Clothing,2026/01/01,625.0,434.0,Seasonal Aid,High,,191,USAID,Reported late,REC00488
Sargodha,Clothing,2025/12/01,256.0,97.0,Emergency,Medium,PK-SAR,159,WFP,Reported late,REC01476
Lahore,Shelter,2025/04/01,755.0,481.0,Seasonal Aid,High,PK-LAH,274,UNHCR,N/A,REC01627
Rawalpindi,Clothing,Feb-2026,805.0,484.0,Seasonal Aid,Medium,PK-RAW,321,WFP,Awaiting confirmation,REC02616
Peshawar,Shelter,04/01/2026,543.0,508.0,Seasonal Aid,Medium,PK-PES,35,UNHCR,,REC00134
Hyderabad,Medicine,2026-02-01,344.0,148.0,Recovery,High,PK-HYD,196,USAID,Verified by field officer,REC01490
Karachi,Food,2025-12-01,738.0,498.0,,Low,PK-KAR,240,Red Crescent,Awaiting confirmation,REC01115
Karachi,Food,2025-11-01,836.0,839.0,Seasonal Aid,Medium,PK-KAR,-3,UNICEF,Reported late,REC00958
